,pid,saleprice
0,526301100,215000
1,526350040,105000
2,526351010,172000
3,526353030,244000
4,527105010,189900
5,527105030,195500
6,527127150,213500
7,527145080,191500
8,527146030,236500
9,527162130,189000
10,527163010,175900
11,527165230,185000
12,527166040,180400
13,527180040,171500
14,527182190,212000
15,527216070,538000
16,527225035,164000
17,527258010,394432
18,527276150,141000
19,527302110,210000
20,527358140,190000
21,527358200,170000
22,527368020,216000
23,527402200,149000
24,527402250,149900
25,527403020,142000
26,527404120,126000
27,527425090,115000
28,527427230,184000
29,527451180,96000
30,527451330,105500
31,527451410,88000
32,527452190,127500
33,527453130,149900
34,527453150,120000
35,527454200,146000
36,528108120,376162
37,528112020,306000
38,528120060,395192
39,528120090,290941
40,528120100,220000
41,528120120,275000
42,528138020,259000
43,528138060,214000
44,528150070,611657
45,528175010,224000
46,528176010,500000
47,528176070,320000
48,528180070,319900
49,528181050,205000
50,528188120,175500
51,528218150,199500
52,528228285,160000
53,528228440,192000
54,528231020,184500
55,528240070,216500
56,528240130,185088
57,528250100,180000
58,528292020,222500
59,528328100,333168
60,528344070,355000
61,528358010,260400
62,528363130,325000
63,528382020,290000
64,528382030,221000
65,528386040,410000
66,528445060,221500
67,528456160,204500
68,528458070,215200
69,528458110,262500
70,528477080,254900
71,528480090,271500
72,531367050,233000
73,531369060,181000
74,531380080,205000
75,531451110,143000
76,531451280,189000
77,531452020,99500
78,531452050,125000
79,531452180,194500
80,531453010,152000
81,531453040,171000
82,531477050,67500
83,532351140,112000
84,532354090,148000
85,532376160,138500
86,532377060,122000
87,532377100,133000
88,532378110,127000
89,532479070,169000
90,533130020,190000
91,533130130,362500
92,533130160,285000
93,533205060,260000
94,533208090,190000
95,533210060,155000
96,533212010,151000
97,533212020,149500
98,533212060,152000
99,533213030,222000
100,533221090,177500
101,533221110,177000
102,533223020,155000
103,533223100,147110
104,533238045,267916
105,533244030,254000
106,533253060,155000
107,533253210,206000
108,533352170,130500
109,534102025,230000
110,534129040,218500
111,534151175,243500
112,534152050,205000
113,534152070,212500
114,534152100,196500
115,534176060,197500
116,534176230,171000
117,534202160,142250
118,534251320,143000
119,534276360,128950
120,534401110,159000
121,534401140,178900
122,534403360,136300
123,534403410,180500
124,534425310,137500
125,534427010,84900
126,534430080,142125
127,534431050,197600
128,534431070,172500
129,534450180,116500
130,534451150,76500
131,534475100,128000
132,534476260,153000
133,534479320,132000
134,535101020,178000
135,535106190,154300
136,535125010,180000
137,535126040,190000
138,535152010,135000
139,535152050,214000
140,535152130,136000
141,535152150,165500
142,535152250,145000
143,535153070,148000
144,535154050,142000
145,535175070,167500
146,535175180,108538
147,535179020,159500
148,535180130,108000
